GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,InferenceChemicalName,InferenceScore,OmimIDs,PubMedIDs
SLC23A1,9963,IMMUNE SUPPRESSION,OMIM:146850,,Ascorbic Acid,8.88,,15020195
SLC23A1,9963,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,8.88,,20156427
SLC23A2,9962,IMMUNE SUPPRESSION,OMIM:146850,,Ascorbic Acid,8.59,,15020195
SLC23A2,9962,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,8.59,,20156427
SLC24A2,25769,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,3.59,,15020195
SLC24A3,57419,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,14.86,,20156427
SLC24A3,57419,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,14.86,,15020195
SLC24A3,57419,IMMUNE SUPPRESSION,OMIM:146850,,Mercuric Chloride,14.86,,2009908|7657819
SLC24A4,123041,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,3.68,,15020195
SLC25A1,6576,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,14.45,,20156427
SLC25A1,6576,IMMUNE SUPPRESSION,OMIM:146850,,Mercuric Chloride,14.45,,2009908|7657819
SLC25A1,6576,IMMUNE SUPPRESSION,OMIM:146850,,Vitamin E,14.45,,15020195
SLC25A10,1468,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.00,,20156427
SLC25A11,8402,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.22,,20156427
SLC25A12,8604,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,8.77,,20156427
SLC25A12,8604,IMMUNE SUPPRESSION,OMIM:146850,,Vitamin E,8.77,,15020195
SLC25A13,10165,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,8.34,,20156427
SLC25A13,10165,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,8.34,,15020195
SLC25A14,9016,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.41,,20156427
SLC25A15,10166,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,8.63,,20156427
SLC25A15,10166,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,8.63,,15020195
SLC25A15B,565335,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,4.14,,20156427
SLC25A16,8034,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,9.50,,20156427
SLC25A16,8034,IMMUNE SUPPRESSION,OMIM:146850,,Vitamin E,9.50,,15020195
SLC25A17,10478,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,3.64,,15020195
SLC25A18,83733,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.56,,20156427
SLC25A19,60386,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.21,,20156427
SLC25A20,788,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,7.86,,20156427
SLC25A20,788,IMMUNE SUPPRESSION,OMIM:146850,,Mercuric Chloride,7.86,,2009908|7657819
SLC25A21,89874,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,9.87,,15020195
SLC25A21,89874,IMMUNE SUPPRESSION,OMIM:146850,,Plant Preparations,9.87,,20156427
SLC25A23,79085,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.11,,20156427
SLC25A24,29957,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,8.65,,20156427
SLC25A24,29957,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,8.65,,15020195
SLC25A25,114789,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,8.21,,20156427
SLC25A25,114789,IMMUNE SUPPRESSION,OMIM:146850,,Mercuric Chloride,8.21,,2009908|7657819
SLC25A26,115286,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.53,,20156427
SLC25A27,9481,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,8.93,,20156427
SLC25A27,9481,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,8.93,,15020195
SLC25A28,81894,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.32,,20156427
