GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,InferenceChemicalName,InferenceScore,OmimIDs,PubMedIDs
SESN1,27244,IMMUNE SUPPRESSION,OMIM:146850,,Mercuric Chloride,13.10,,2009908|7657819
SESN2,83667,IMMUNE SUPPRESSION,OMIM:146850,,Ascorbic Acid,7.34,,15020195
SESN2,83667,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,7.34,,20156427
SESN3,143686,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.02,,20156427
SESTD1,91404,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,8.93,,20156427
SESTD1,91404,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,8.93,,15020195
SET,6418,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,8.45,,20156427
SET,6418,IMMUNE SUPPRESSION,OMIM:146850,,Vitamin E,8.45,,15020195
SETBP1,26040,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,8.80,,15020195
SETBP1,26040,IMMUNE SUPPRESSION,OMIM:146850,,Vitamin E,8.80,,15020195
SETD1A,9739,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.39,,20156427
SETD2,29072,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,9.06,,15020195
SETD2,29072,IMMUNE SUPPRESSION,OMIM:146850,,Vitamin E,9.06,,15020195
SETD4,54093,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.24,,20156427
SETD5,55209,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.22,,20156427
SETD6,79918,IMMUNE SUPPRESSION,OMIM:146850,,Vitamin E,3.96,,15020195
SETD7,80854,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.21,,20156427
SETD9,133383,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.76,,20156427
SETDB2,83852,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,9.80,,20156427
SETDB2,83852,IMMUNE SUPPRESSION,OMIM:146850,,Mercuric Chloride,9.80,,2009908|7657819
SETMAR,6419,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.42,,20156427
SETSIP,646817,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,4.20,,15020195
SETX,23064,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,9.03,,20156427
SETX,23064,IMMUNE SUPPRESSION,OMIM:146850,,Mercuric Chloride,9.03,,2009908|7657819
SEZ6,124925,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,3.45,,15020195
